"Epic_ID","Epic_Title","Feature_ID","Feature_Title","Story_ID","Story_Title","Task_ID","Task_Title","Subtask_ID","Subtask_Title","Assigned_Agent","Priority","Estimated_Effort","Status","Dependencies","Acceptance_Criteria","Sprint","Reviewer","Review_Status","Completed_Date","Comments"
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0101","Supabase PostgreSQL Database Schema & Migrations","STORY-010101","As a developer, I need the core PostgreSQL schema deployed so all application tables exist with proper types and constraints.","TASK-01010101","Create Enum Types (exam_category_enum, notification_status_enum, draft_status_enum)","SUB-0101010101","Define exam_category_enum with 8 values","Solution Architect","P0","10 minutes","COMPLETED","","Enum type exists and accepts all 8 values","Sprint 1","Architecture Reviewer","APPROVED","2026-09-04","CREATE TYPE exam_category_enum covering all government exam categories."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0101","Supabase PostgreSQL Database Schema & Migrations","STORY-010101","As a developer, I need the core PostgreSQL schema deployed so all application tables exist with proper types and constraints.","TASK-01010101","Create Enum Types (exam_category_enum, notification_status_enum, draft_status_enum)","SUB-0101010102","Define notification_status_enum (draft, under_review, published, archived)","Solution Architect","P0","10 minutes","COMPLETED","","Enum type exists and accepts 4 values","Sprint 1","Architecture Reviewer","APPROVED","2026-09-04","CREATE TYPE for notification lifecycle status tracking."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0101","Supabase PostgreSQL Database Schema & Migrations","STORY-010101","As a developer, I need the core PostgreSQL schema deployed so all application tables exist with proper types and constraints.","TASK-01010101","Create Enum Types (exam_category_enum, notification_status_enum, draft_status_enum)","SUB-0101010103","Define draft_status_enum (pending_review, approved, rejected)","Solution Architect","P0","10 minutes","COMPLETED","","Enum type exists and accepts 3 values","Sprint 1","Architecture Reviewer","APPROVED","2026-09-04","CREATE TYPE for HITL draft verification workflow states."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0101","Supabase PostgreSQL Database Schema & Migrations","STORY-010101","As a developer, I need the core PostgreSQL schema deployed so all application tables exist with proper types and constraints.","TASK-01010102","Create Core Tables: exams, notifications, draft_notifications, user_subscriptions, audit_logs","SUB-0101010201","Create public.exams table","Solution Architect","P0","30 minutes","COMPLETED","SUB-0101010101","Table exists with all columns, slug has UNIQUE constraint","Sprint 1","Architecture Reviewer","APPROVED","2026-09-04","Master exam table with UUID PK, slug unique index, conducting_body, category enum, state_or_central, official_website, logo_url."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0101","Supabase PostgreSQL Database Schema & Migrations","STORY-010101","As a developer, I need the core PostgreSQL schema deployed so all application tables exist with proper types and constraints.","TASK-01010102","Create Core Tables: exams, notifications, draft_notifications, user_subscriptions, audit_logs","SUB-0101010202","Create public.notifications table","Solution Architect","P0","45 minutes","COMPLETED","SUB-0101010201","Table exists with all columns, slug has UNIQUE constraint, FK to exams cascades","Sprint 1","Architecture Reviewer","APPROVED","2026-09-04","Exam notification records with FK to exams, JSONB syllabus_summary, TEXT[] qualification_required and selection_process arrays, status enum, verified_by FK to auth.users."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0101","Supabase PostgreSQL Database Schema & Migrations","STORY-010101","As a developer, I need the core PostgreSQL schema deployed so all application tables exist with proper types and constraints.","TASK-01010102","Create Core Tables: exams, notifications, draft_notifications, user_subscriptions, audit_logs","SUB-0101010203","Create public.draft_notifications table","Solution Architect","P0","30 minutes","COMPLETED","SUB-0101010102","Table exists, confidence_score defaults to 0.00, parsed_json defaults to empty JSONB","Sprint 1","Architecture Reviewer","APPROVED","2026-09-04","AI scraper output queue with source_url, raw_extracted_text, parsed_json JSONB, extraction_confidence_score NUMERIC(5,2), draft_status_enum."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0101","Supabase PostgreSQL Database Schema & Migrations","STORY-010101","As a developer, I need the core PostgreSQL schema deployed so all application tables exist with proper types and constraints.","TASK-01010102","Create Core Tables: exams, notifications, draft_notifications, user_subscriptions, audit_logs","SUB-0101010204","Create public.user_subscriptions table","Solution Architect","P0","30 minutes","COMPLETED","TASK-01010101","Table exists, preferred_channels defaults to ARRAY['web_push'], FK to auth.users cascades","Sprint 1","Architecture Reviewer","APPROVED","2026-09-04","Candidate alert preferences with preferred_channels TEXT[], telegram_chat_id, whatsapp_phone_number, fcm_device_token, subscribed_exam_ids UUID[], subscribed_categories enum[], subscribed_states TEXT[]."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0101","Supabase PostgreSQL Database Schema & Migrations","STORY-010101","As a developer, I need the core PostgreSQL schema deployed so all application tables exist with proper types and constraints.","TASK-01010102","Create Core Tables: exams, notifications, draft_notifications, user_subscriptions, audit_logs","SUB-0101010205","Create public.audit_logs table","Solution Architect","P0","15 minutes","COMPLETED","TASK-01010101","Table exists, no UPDATE or DELETE operations permitted by candidate roles","Sprint 1","Architecture Reviewer","APPROVED","2026-09-04","Immutable security audit trail with admin_id FK, action TEXT, target_entity TEXT, target_id UUID, metadata JSONB."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0101","Supabase PostgreSQL Database Schema & Migrations","STORY-010101","As a developer, I need the core PostgreSQL schema deployed so all application tables exist with proper types and constraints.","TASK-01010103","Create Performance Indexes on notifications, exams, draft_notifications","SUB-0101010301","Create notification indexes (status, exam_id, dates)","Solution Architect","P0","20 minutes","COMPLETED","SUB-0101010202","All 3 indexes exist and are used by query planner","Sprint 1","Architecture Reviewer","APPROVED","2026-09-04","Three B-tree indexes for the most common notification query patterns: filtering by status, joining to exams, and sorting/filtering by deadline."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0101","Supabase PostgreSQL Database Schema & Migrations","STORY-010101","As a developer, I need the core PostgreSQL schema deployed so all application tables exist with proper types and constraints.","TASK-01010103","Create Performance Indexes on notifications, exams, draft_notifications","SUB-0101010302","Create exam indexes (category, state)","Solution Architect","P0","10 minutes","COMPLETED","SUB-0101010201","Both indexes exist","Sprint 1","Architecture Reviewer","APPROVED","2026-09-04","B-tree indexes for category and state_or_central filter performance."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0101","Supabase PostgreSQL Database Schema & Migrations","STORY-010101","As a developer, I need the core PostgreSQL schema deployed so all application tables exist with proper types and constraints.","TASK-01010103","Create Performance Indexes on notifications, exams, draft_notifications","SUB-0101010303","Create draft_notifications status index","Solution Architect","P0","10 minutes","COMPLETED","SUB-0101010203","Index exists","Sprint 1","Architecture Reviewer","APPROVED","2026-09-04","B-tree index on draft_notifications(status) for HITL queue filtering."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0101","Supabase PostgreSQL Database Schema & Migrations","STORY-010102","As a security engineer, I need mandatory Row Level Security policies on all tables to enforce RBAC at the database tier.","TASK-01010201","Enable RLS on All 5 Public Tables","SUB-0101020101","Execute ENABLE ROW LEVEL SECURITY on all tables","Solution Architect","P0","15 minutes","COMPLETED","TASK-01010102","All tables show RLS enabled in Supabase dashboard","Sprint 1","Architecture Reviewer","APPROVED","2026-09-04","Run 5 ALTER TABLE statements to activate default-deny RLS."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0101","Supabase PostgreSQL Database Schema & Migrations","STORY-010102","As a security engineer, I need mandatory Row Level Security policies on all tables to enforce RBAC at the database tier.","TASK-01010202","Create Public Read Policies for Candidate Access","SUB-0101020201","CREATE POLICY for public exam read access","Solution Architect","P0","15 minutes","COMPLETED","TASK-01010201","Anonymous user can SELECT from exams","Sprint 1","Architecture Reviewer","APPROVED","2026-09-04","Allow all users to read exam metadata without authentication."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0101","Supabase PostgreSQL Database Schema & Migrations","STORY-010102","As a security engineer, I need mandatory Row Level Security policies on all tables to enforce RBAC at the database tier.","TASK-01010202","Create Public Read Policies for Candidate Access","SUB-0101020202","CREATE POLICY for published notifications read access","Solution Architect","P0","15 minutes","COMPLETED","TASK-01010201","Anonymous user can only SELECT notifications WHERE status = 'published'","Sprint 1","Architecture Reviewer","APPROVED","2026-09-04","Restrict public reads to only published notifications; drafts and archived items are hidden."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0101","Supabase PostgreSQL Database Schema & Migrations","STORY-010102","As a security engineer, I need mandatory Row Level Security policies on all tables to enforce RBAC at the database tier.","TASK-01010203","Create Admin Full Access & User Self-Service RLS Policies","SUB-0101020301","Create Admin Full Access policies on exams, notifications, draft_notifications, audit_logs","Solution Architect","P0","30 minutes","COMPLETED","TASK-01010201","Admin user can INSERT, UPDATE, DELETE on all 4 tables","Sprint 1","Architecture Reviewer","APPROVED","2026-09-04","FOR ALL USING (auth.jwt() ->> 'role' = 'admin') policies granting complete CRUD to admins."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0101","Supabase PostgreSQL Database Schema & Migrations","STORY-010102","As a security engineer, I need mandatory Row Level Security policies on all tables to enforce RBAC at the database tier.","TASK-01010203","Create Admin Full Access & User Self-Service RLS Policies","SUB-0101020302","Create User Subscriptions own-access policy","Solution Architect","P0","15 minutes","COMPLETED","TASK-01010201","Candidate can CRUD only rows WHERE user_id matches their auth.uid()","Sprint 1","Architecture Reviewer","APPROVED","2026-09-04","Candidate users can only read and modify their own subscription preferences."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0102","Supabase Auth Integration & RBAC Role Configuration","STORY-010201","As a candidate, I want to register and log in using Email/Password or Google OAuth so I can save my preferences.","TASK-01020101","Configure Supabase Auth Providers","SUB-0102010101","Enable Email/Password provider with email verification","DevOps Engineer","P0","30 minutes","COMPLETED","","New registrations receive verification email; unverified users cannot log in","Sprint 1","DevOps Reviewer|Security Reviewer","APPROVED","2026-09-04","Configure Supabase Auth Email provider and enable mandatory email confirmation before login."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0102","Supabase Auth Integration & RBAC Role Configuration","STORY-010201","As a candidate, I want to register and log in using Email/Password or Google OAuth so I can save my preferences.","TASK-01020101","Configure Supabase Auth Providers","SUB-0102010102","Configure Google OAuth 2.0 provider","DevOps Engineer","P0","45 minutes","COMPLETED","","Google login button initiates OAuth flow and returns to callback URL","Sprint 1","DevOps Reviewer|Security Reviewer","APPROVED","2026-09-04","Create Google Cloud OAuth consent screen and credentials; store client ID/secret as environment variables."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0102","Supabase Auth Integration & RBAC Role Configuration","STORY-010201","As a candidate, I want to register and log in using Email/Password or Google OAuth so I can save my preferences.","TASK-01020101","Configure Supabase Auth Providers","SUB-0102010103","Enable Magic Link passwordless provider","DevOps Engineer","P1","30 minutes","COMPLETED","","Magic Link email sent and clicking it authenticates the user","Sprint 1","DevOps Reviewer|Security Reviewer","APPROVED","2026-09-04","Configure Supabase Magic Link email template for passwordless registration/login."
"EPIC-01","Foundation: Database, Auth & Hosting Infrastructure","FEAT-0102","Supabase Auth Integration & RBAC Role Configuration","STORY-010201","As a candidate, I want to register and log in using Email/Password or Google OAuth so I can save my preferences.","TASK-01020102","Build Supabase Auth Client Wrappers (Browser, Server, Middleware)","SUB-0102010201","Create lib/supabase/client.ts (browser client)","Frontend Engineer","P0","1 hour","READY","TASK-01020101","Client component can call supabase.auth.getUser() successfully","Sprint 1","Code Reviewer","PENDING","","Singleton browser Supabase client using @supabase/ssr createBrowserClient with env vars."
